iter	MultiClass
328	0.6823839724
329	0.6820759636
330	0.6817743846
331	0.6814678986
332	0.6812191183
333	0.6808102612
334	0.6805635227
335	0.6801760828
336	0.6798638839
337	0.6795963574
338	0.679321002
339	0.67891687
340	0.6785472947
341	0.6782645935
342	0.6780283739
343	0.6777321043
344	0.6773553025
345	0.6770464906
346	0.6767498884
347	0.6765005944
348	0.6761417878
349	0.6758225386
350	0.6754618942
351	0.6751580948
352	0.6747763338
353	0.6744627856
354	0.674147486
355	0.6739182824
356	0.6735364241
357	0.6732972539
358	0.6729405542
359	0.6726385007
360	0.6722664067
361	0.6718930991
362	0.6715992515
363	0.6712615033
364	0.6709284247
365	0.6707032634
366	0.6705595036
367	0.6701252064
368	0.669627586
369	0.6692001798
370	0.6689418224
371	0.6686718036
372	0.6683820598
373	0.6681747121
374	0.6679036451
375	0.6675564414
376	0.6673256144
377	0.6668762174
378	0.666515486
379	0.666059049
380	0.6658009731
381	0.6655349921
382	0.6652759608
383	0.6649868561
384	0.6646723774
385	0.6644754225
386	0.6640256077
387	0.6636597183
388	0.6634952371
389	0.6632522387
390	0.6630296372
391	0.6626089611
392	0.6623571749
393	0.6620446198
394	0.6618087655
395	0.6614668658
396	0.6611461769
397	0.6606926929
398	0.6602282773
399	0.6598539827
400	0.6595620951
401	0.6592096593
402	0.6587734239
403	0.6583921883
404	0.6580097827
405	0.6578124577
406	0.6574641934
407	0.6572778876
408	0.6570514481
409	0.656689785
410	0.6564236206
411	0.6561484077
412	0.6559522916
413	0.6556620724
414	0.655271227
415	0.6549414708
416	0.6546744642
417	0.6543515228
418	0.653916084
419	0.6536412913
420	0.653360521
421	0.6530737043
422	0.6527797121
423	0.6526571124
424	0.65241634
425	0.6522133679
426	0.6518658287
427	0.6516422943
428	0.6513586166
429	0.6511065682
430	0.6508294179
431	0.6505867199
432	0.6502410329
433	0.6497760635
434	0.6495306276
435	0.6491409983
436	0.6489108346
437	0.6486110746
438	0.6484120754
439	0.6480981475
440	0.6478950718
441	0.6476715365
442	0.6474954457
443	0.6471596983
444	0.6467200027
445	0.6464156267
446	0.6462463226
447	0.6459903583
448	0.6457624346
449	0.6455017172
450	0.6452273251
451	0.6449225401
452	0.6446758004
453	0.6443191873
454	0.6439537211
455	0.6436661568
456	0.6432900265
457	0.6429306209
458	0.6425084472
459	0.6423108764
460	0.6421363641
461	0.6418634397
462	0.6416260996
463	0.6413380663
464	0.6410690831
465	0.640798703
466	0.6406243696
467	0.6404639013
468	0.6400933896
469	0.6398436038
470	0.6395448645
471	0.6393933465
472	0.6390330779
473	0.6387448051
474	0.6385384004
475	0.6382800898
476	0.6379794961
477	0.6375967826
478	0.6373027397
479	0.637150199
480	0.6369169753
481	0.6367166034
482	0.6364144613
483	0.6361863505
484	0.6357362232
485	0.6355050524
486	0.6352801893
487	0.6350600655
488	0.6347920921
489	0.6345062572
490	0.634383571
491	0.6342299306
492	0.6339171163
493	0.633625855
494	0.6334188831
495	0.6332165829
496	0.6329266122
497	0.6326262524
498	0.6323963755
499	0.6321524077
500	0.6317866708
501	0.6315311241
502	0.6312564698
503	0.6310608251
504	0.6308460996
505	0.6306818703
506	0.6303821267
507	0.6301376351
508	0.6298653123
509	0.6295823564
510	0.6293500984
511	0.6290888074
512	0.6289017442
513	0.6286786969
514	0.6285551914
515	0.6283442791
516	0.6279917225
517	0.6275794712
518	0.6273331205
519	0.6271224654
520	0.6266454046
521	0.6263117678
522	0.6259970603
523	0.6257387284
524	0.6253806837
525	0.6252632203
526	0.6250556213
527	0.6248322973
528	0.6245298357
529	0.6242205171
530	0.624021873
531	0.6238191096
532	0.6235419601
533	0.6233852914
534	0.623234684
535	0.6229921466
536	0.6227566606
537	0.622435976
538	0.6222303172
539	0.6220312336
540	0.6217699361
541	0.6215050056
542	0.6212901761
543	0.6210404913
544	0.620768136
545	0.6205544664
546	0.6203658285
547	0.620168167
548	0.6199001973
549	0.6196716332
550	0.6192794686
551	0.6190341523
552	0.618699286
553	0.6185352729
554	0.6183828734
555	0.6182154749
556	0.6179016295
557	0.6174975237
558	0.6172082084
559	0.6169214717
560	0.6166365823
561	0.6163111543
562	0.6160382692
563	0.6158452878
564	0.6155247335
565	0.6152590533
566	0.6150262995
567	0.6148522652
568	0.614700685
569	0.6144205647
570	0.6142104108
571	0.614022083
572	0.6138467357
573	0.6135739743
574	0.6134081172
575	0.6132361525
576	0.6130932555
577	0.6128441707
578	0.6126384037
579	0.6124238005
580	0.6122793131
581	0.6120514427
582	0.6119040704
583	0.6116640542
584	0.6114780558
585	0.6112336451
586	0.6110358383
587	0.6107984751
588	0.6106285263
589	0.610458463
590	0.6102170598
591	0.6099798502
592	0.6098143303
593	0.6095943284
594	0.6094433961
595	0.6091594969
596	0.6088933135
597	0.6087770145
598	0.6086678794
599	0.6084392214
600	0.6080908955
601	0.6080073568
602	0.6078656895
603	0.6076983313
604	0.6074065735
605	0.6071957531
606	0.6068599363
607	0.6066529983
608	0.6063024794
609	0.6060712675
610	0.6059233625
611	0.6057592019
612	0.605444364
613	0.6053151676
614	0.6050966203
615	0.6049733371
616	0.6047166852
617	0.6045729767
618	0.6044932267
619	0.6042257129
620	0.6039507963
621	0.6036324996
622	0.6032952318
623	0.6030909905
624	0.6029224025
625	0.6027693623
626	0.6026142828
627	0.6023143881
628	0.6020062927
629	0.6016926132
630	0.6015774863
631	0.6012738397
632	0.6010473591
633	0.6008114385
634	0.6006623333
635	0.600467514
636	0.6001976102
637	0.600067841
638	0.5999665796
639	0.5998401027
640	0.5997107331
641	0.5995220259
642	0.5993347464
643	0.5991274798
644	0.5988696492
645	0.5986290195
646	0.598434647
647	0.598236507
648	0.5981219044
649	0.5978689609
650	0.5977663222
651	0.5974660748
652	0.5973989739
653	0.5971990417
654	0.596993229
655	0.5967767359
656	0.5966672537
657	0.5964551567
658	0.5962494953
659	0.5960932146
660	0.5958983619
661	0.5956559186
662	0.5953703797
663	0.5951368788
664	0.5949087247
665	0.5947057148
666	0.5944246712
667	0.594240033
668	0.5940237277
669	0.5938727163
670	0.5936141233
671	0.5934756117
672	0.5932470363
673	0.5931469882
674	0.5929682285
675	0.5927482777
676	0.5925275491
677	0.5923586196
678	0.5921552246
679	0.5919421521
680	0.5916969443
681	0.5914904779
682	0.5913684669
683	0.5912109393
684	0.5910024043
685	0.5907471573
686	0.5905487644
687	0.5904048096
688	0.5901876178
689	0.5899936484
690	0.5897765056
691	0.5896657109
692	0.5895490771
693	0.5894240646
694	0.5891741264
695	0.5888943311
696	0.5886167297
697	0.5884747998
698	0.5883671321
699	0.5880863366
700	0.5879473244
701	0.5878116823
702	0.5876729299
703	0.5873165187
704	0.5871779014
705	0.5868809364
706	0.5866386094
707	0.5864623111
708	0.5862642185
709	0.5861599078
710	0.5859626067
711	0.585775383
712	0.5855797429
713	0.585337085
714	0.5850832346
715	0.5847885795
716	0.5844735868
717	0.5843291591
718	0.5841702937
719	0.5839521931
720	0.5837775351
721	0.5835934933
722	0.5834020569
723	0.5832738318
724	0.583117618
725	0.5829547295
726	0.5826400223
727	0.5823648052
