calls_count_in_weekdays,calls_count_out_weekdays,calls_count_in_weekends,calls_count_out_weekends,DATA_VOLUME_WEEKDAYS,DATA_VOLUME_WEEKENDS,sim_count,AVG_ARPU,ROUM,phone_value,car,gender,lifetime,how_long_same_model,ecommerce_score,fb_volume,instagram_volume,intagram_count,viber_volume,youtube_volume,google_volume,gmail_volume,skype_volume,twitter_volume,whatsapp_volume,applemaps_volume,telegram_volume,target,OS_Android,OS_Feature_Phone,OS_iOS,Fuel_Activity_Score,Is_Driver,Gamer_Score,Is_Gamer,Dating_App_User,White_Collar_Worker,Taxi_User,Niche_Social_User,Paid_Content_User,fb_Content_Heaviness,viber_Content_Heaviness,youtube_Content_Heaviness,google_Content_Heaviness,gmail_Content_Heaviness,skype_Content_Heaviness,twitter_Content_Heaviness,whatsapp_Content_Heaviness,applemaps_Content_Heaviness,telegram_Content_Heaviness,Financial_Activity_Score,Bank_Diversity,Has_Privat,Has_Oschad,Has_Alfa,Has_Raiffeisen,Commute_Distance_KM,Is_Big_City,City_Population_Proxy,Raion_Density,Weekend_Calls_Share,Weekend_Data_Share,Avg_Call_Duration_Weekdays,Avg_Call_Duration_Weekends,Digital_Introvert_Score,Brand_Huawei,Brand_Lenovo,Brand_Other,Brand_Samsung,Brand_Xiaomi,SCORING_Numeric,Is_Big_City_WORK,City_Population_Proxy_WORK,Raion_Density_WORK,Oblast_Density_HOME,Oblast_Density_WORK,Tech_Refresh_Rate,Affluence_Index
4.13,3.83,3.25,3.13,13.607,24.814,2.0,113.06200833,1.0,3.0,0,1,152.03333333,9.0,0,7.1403,1.3897,28.97,0.1368,0.9144,0.9715,0.068,0.01,0.0037,0.4223,0.0,0.0,4,1,0,0,0.0,0,0.0,0,0,0,0,1,1,0.05940794235841286,0.007884271799896259,0.34492644285175406,0.015444905486399263,0.07003089598352215,0.007189072609633359,0.028244274809160305,0.251219512195122,0.0,0.0,1.0,1,1,0,0,0,0.0,0,382,397,0.4448783208981243,0.6458279110926033,3.0589121969601805,3.724651308572324,2.5046284224250326,0,0,0,1,0,3.0,0,397,409,687,691,0.05881071662075388,226.12401666
1.83,3.35,1.0,2.25,151.475,213.445,2.0,59.96215833300001,0.0,3.0,0,1,175.43333333,3.0,1,3.3907,0.279,41.13,1.2603,1.6261,21.831,0.0077,0.0,0.0009,0.9162,0.0,0.0001,4,1,0,0,0.0,0,0.0,0,0,0,0,0,0,0.010114518048748475,0.02311586361218613,0.06942914478459501,0.03501245346989115,0.00915576694411415,0.0,0.029032258064516127,0.5549364021804968,0.0,0.0032258064516129032,37.0,2,1,1,0,0,0.0,0,161,168,0.38548214921124424,0.5849074183179374,3.268287975294345,2.1264226391879424,38.69777306468716,0,0,1,0,0,2.0,0,166,172,880,876,0.017003589647024437,119.92431666600002
2.39,3.65,2.75,5.5,77.186,50.619,1.0,86.885575,0.0,3.0,0,1,86.2,3.0,1,28.8108,1.5373,70.52,1.0354,10.9975,7.4862,0.046,0.0,0.0659,0.0,0.0,0.0,5,1,0,0,0.0,0,0.0,0,0,1,0,0,0,0.10960052649398375,0.043852441658548985,0.23428346221852966,0.027853451451235443,0.011672164425272774,0.0,0.02553273924835335,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,1,670,676,0.5772864040305088,0.39606121778320263,2.8976990564476077,3.965216337413647,8.358731196860694,0,0,0,1,0,2.0,1,698,702,936,945,0.034403669724770644,173.77115
3.87,0.87,4.13,1.63,0.0,0.0,2.0,41.072116667,0.0,3.0,1,0,191.13333333,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,3,4,0.5485191886487001,0.0,1.9932503691204384,1.1366082277382399,0.0,0,0,0,0,1,3.0,0,3,6,394,388,0.04163775156213806,82.144233334
3.26,2.0,1.0,0.75,11.076,9.073,2.0,16.079716667,0.0,3.0,0,1,64.333333333,8.0,0,5.0237,0.2806,0.48,0.0314,0.4029,2.6222,0.0451,0.0,0.0,0.0,0.0,0.0,5,1,0,0,0.0,0,0.0,0,0,1,0,1,1,0.18320630173954267,0.007054594473152099,0.05754892158263105,0.04458689700906293,0.03173821252638987,0.0,0.0,0.0,0.0,0.0,33.0,2,1,0,0,1,0.0,0,45,46,0.2496077592354871,0.450272952853598,1.8369131343850977,3.5162764134780127,2.5154806491885147,0,0,1,0,0,2.0,0,42,45,348,350,0.12244897959246148,32.159433334
14.09,6.13,1.75,2.0,0.0,0.0,2.0,20.579216667,1.0,3.0,1,0,142.6,19.0,1,0.0023,0.0,0.0,0.003,0.0,0.0144,0.0001,0.0,0.0,0.0,0.0,0.0,5,1,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0028360049321824905,0.0018170805572380378,0.0,0.0032352280386430013,0.0032258064516129032,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,12.97160059077248,1,2741,2741,0.15643903049518168,0.0,2.399188961970229,2.0301252999200217,0.0,0,0,0,1,0,3.0,1,2907,2907,2741,2907,0.13231197771587744,41.158433334
2.35,1.26,1.13,0.0,31.07,11.388,2.0,64.934825,1.0,3.0,1,0,175.16666667,13.0,1,5.5675,0.0,0.0,0.7904,1.0983,5.447,0.1257,0.0164,0.0028,0.0,0.0,0.0033,4,1,0,0,0.0,0,0.0,0,0,1,0,0,0,0.03836189373738209,0.018338321616667826,0.0602435412209972,0.01935121731129277,0.021895140219473957,0.009260304912478827,0.010727969348659003,0.0,0.0,0.0011615628299894403,611.0,3,0,0,1,0,0.18617237152126426,0,184,189,0.23834634043450745,0.26821168656821875,1.2622542232068679,1.2024756852343061,7.396864111498258,0,0,0,1,0,4.0,0,186,190,348,350,0.07379375591156492,129.86965
5.3,16.13,3.75,12.38,0.352,1.02,2.0,142.50053333,0.0,3.0,1,0,214.86666667,3.0,0,0.0012,0.0,0.0,0.2397,0.0,0.1734,0.0007,0.0011,0.0,0.0,0.0,0.0,5,1,0,0,0.0,0,0.0,0,0,0,0,0,0,0.007453416149068322,0.1651964162646451,0.0,0.018990252984339064,0.011475409836065573,0.008396946564885497,0.0,0.0,0.0,0.0,3.0,1,0,0,0,0,0.0,0,47,54,0.4294347860813078,0.742898761835397,2.045028230133918,2.5382183373628413,0.03558091286307053,0,0,1,0,0,3.0,0,46,51,269,273,0.013897467572361065,285.00106666
5.09,9.39,4.75,9.0,150.79399999999995,102.999,2.0,44.955766667,0.0,3.0,0,1,53.666666667,24.0,1,7.6099,23.204,199.81,3.365,0.8418,27.2404,0.0716,0.0632,0.0213,0.0,0.0,0.0,2,1,0,0,0.0,0,0.0,0,0,1,0,0,0,0.05109338597162635,0.04322914659369741,0.044372990353697746,0.06722854160136825,0.029945629443747384,0.008029475289035701,0.021936148300720906,0.0,0.0,0.0,6.0,2,1,0,1,0,1.4981207612630032,1,1281,1281,0.4870532393468173,0.4058370174235798,2.9347420758234932,2.3140135262889974,8.682620595278822,0,0,0,1,0,1.0,1,1325,1325,1801,1813,0.43902439024122547,89.911533334
5.39,0.0,3.63,0.0,0.0,0.0,2.0,124.53459167,1.0,3.0,1,0,95.6,7.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2,1,0,0,0,7.412433410871121,1,1281,1281,0.4023944130362488,0.0,2.579669820070488,2.4637840815202425,0.0,0,0,0,0,1,3.0,1,1325,1325,1801,1813,0.07246376811594203,249.06918334
15.39,11.65,11.5,13.5,9.432,117.218,1.0,72.710616667,0.0,4.0,0,1,78.833333333,1.0,0,0.0691,0.0,0.0,0.0106,10.4587,2.6959,0.0364,0.0002,0.0,0.0,0.0,0.0,3,0,1,0,0.0,0,0.0,0,0,0,0,0,0,0.01381723655268946,0.0028796522684053248,0.2752217046919818,0.039950504586476185,0.01661341853035144,0.0064516129032258064,0.0,0.0,0.0,0.0,262.0,2,0,0,1,0,0.7713108670085157,1,947,958,0.48039046136699914,0.9255197353356862,1.4999075477977883,1.6621735130594775,2.3878205128205128,0,0,1,0,0,1.0,1,957,970,1435,1428,0.012526096033455223,72.710616667
0.0,0.3,0.0,0.0,0.003,0.0,2.0,48.167928571,0.0,3.0,0,0,6.6333333333,3.0,1,0.001,0.0,0.0,0.0,0.0098,0.0568,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0023752969121140144,0.0,0.0030331166821417517,0.002959720702412589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.034812357452447165,0,62,64,0.0,0.0,0.5049833887043189,0.0,0.0023076923076923075,0,0,0,1,0,1.0,0,59,61,67,66,0.39301310043839743,96.335857142
23.96,10.48,27.88,13.0,0.0,0.0,2.0,57.297791667,0.0,4.0,1,0,204.33333333,19.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,0,0,0,0.0,0,1,30,0.5427437235299584,0.0,1.0405330855666215,0.917443311073604,0.0,0,0,0,1,0,2.0,0,1,31,687,691,0.0925324675339697,57.297791667
6.22,0.61,3.25,0.13,0.001,0.0,2.0,28.565491667,0.0,3.0,0,1,71.233333333,24.0,0,0.008,0.0024,0.58,0.0005,0.0,0.0072,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0,0,0.0,0,0.0,0,0,0,0,0,0,0.004275788348476751,0.0014245014245014246,0.0,0.0034269395525940026,0.0,0.0,0.0,0.0,0.0,0.0,256.0,0,0,0,0,0,0.2819850003595909,0,297,298,0.33101557144256194,0.0,1.419997072170985,1.6506950606329487,8.920606601248885e-05,0,0,1,0,0,1.0,0,293,294,394,388,0.3322565759129315,57.130983334
2.13,1.91,2.5,4.38,8.789,17.442,2.0,17.310691667,0.0,3.0,0,1,166.4,7.0,0,0.0357,0.0017,0.19,0.0389,5.2908,1.5747,0.0282,0.0,0.0,0.0,0.0,0.0,5,1,0,0,0.0,0,0.0,0,0,0,0,0,0,0.014745972738537796,0.017436127297176154,0.3259688250877949,0.04018014340027048,0.046153846153846156,0.0,0.0,0.0,0.0,0.0,8.0,2,1,0,1,0,0.0,0,253,253,0.6299789396575406,0.6649130832570905,4.32739420935412,1.4747856416218572,2.200587248322148,1,0,0,0,0,1.0,0,263,263,397,391,0.04181600955794504,34.621383334
6.91,4.3,3.5,2.75,29.381,9.482,2.0,157.57116667,0.0,3.0,1,0,174.1,13.0,0,18.1503,0.0,0.0,0.6419,0.3078,1.3725,0.0202,0.0,0.0031,0.0031,0.0,0.0,5,1,0,0,5.0,1,0.0,0,0,0,0,0,0,0.21648477475220954,0.042338895851197156,0.040072907173545114,0.013147685145271143,0.009479117785077429,0.0,0.019254658385093167,0.002401239349341596,0.0,0.0,1.0,1,1,0,0,0,15.715427506228107,0,69,106,0.357940553232919,0.2439790037052285,1.8083132637588082,1.548392257238842,2.105254604550379,0,0,1,0,0,3.0,1,2907,2907,922,2907,0.07424328954882924,315.14233334
1.91,1.65,1.63,0.75,50.892,56.794,2.0,92.951041667,0.0,3.0,0,1,46.6,3.0,1,7.5237,22.8295,52.68,0.1274,0.9569,3.5716,0.0803,0.0009,0.0408,0.0,0.0,0.0,3,1,0,0,0.0,0,0.0,0,0,1,0,1,1,0.10180782398073096,0.014060258249641322,0.057815237749984885,0.06746378043482368,0.032762137902896775,0.00891089108910891,0.02532588454376164,0.0,0.0,0.0,4.0,2,0,0,0,0,0.0,1,670,676,0.4006059585928295,0.5273988503719111,1.9831508003369842,1.660226795464091,15.516714697406343,0,0,0,0,1,2.0,1,698,702,936,945,0.06302521008403361,185.902083334
11.13,3.83,0.88,0.25,29.72300000000001,10.278,2.0,48.524183333,0.0,3.0,1,0,102.6,12.0,1,3.0448,0.006,0.87,0.0798,2.0411,6.1781,0.1666,0.0473,0.8127,0.0089,0.0,0.0017,5,1,0,0,5.0,1,0.0,0,0,1,0,0,0,0.06834414491257211,0.00584572558786902,0.05947087788817343,0.027188631832804504,0.03462897526501767,0.016082964977898677,0.1448404918909285,0.0037222919280635717,0.0,0.027868852459016394,55.0,1,1,0,0,0,0.19979688787567015,0,28,56,0.07022559194580819,0.25693715314234283,1.5447496825078535,1.0848806366047747,2.340608543007607,0,0,0,0,1,3.0,0,20,44,922,763,0.11583011583011583,97.048366666
0.87,2.09,0.13,1.38,22.409,2.9360000000000004,2.0,37.583275,1.0,3.0,0,1,14.8,14.0,0,0.5306,0.188,47.68,0.1035,9.7097,3.7348,0.0235,0.217,0.0,0.3262,0.0,0.0,6,1,0,0,0.0,0,0.0,0,0,0,0,0,0,0.016220843141450888,0.0034168564920273345,0.22818970176964115,0.027441385441694034,0.016894320632638394,0.010177759016931662,0.0,0.014826598790964046,0.0,0.0,0.0,0,0,0,0,0,1.1576808556333482,0,113,114,0.337732050995303,0.11583681843288883,4.59709557581898,4.631369953673064,4.63345521023766,0,0,0,1,0,1.0,0,117,117,880,876,0.8860759493670886,75.16655
8.09,5.57,5.5,3.25,46.77,4.606,2.0,42.259166667,0.0,3.0,0,1,133.33333333,8.0,0,4.7245,10.5615,49.77,0.3625,0.1071,2.0849,0.0133,0.0,0.0,0.0,0.0,0.0,5,1,0,0,0.0,0,0.0,0,0,0,0,0,0,0.07968325715538616,0.0231614593316721,0.015430053306439992,0.035608273129408556,0.05757575757575757,0.0,0.0,0.0,0.0,0.0,9.0,2,1,0,0,1,7.108974845244659,1,2741,2741,0.39043326937664535,0.08965101115285048,4.982504941073128,6.853502456862074,2.194617684750107,0,0,0,0,1,1.0,1,2907,2907,2741,2907,0.059553349877408276,84.518333334
5.87,6.96,2.38,5.88,21.379,14.308,2.0,46.747625,0.0,3.0,0,1,117.1,8.0,1,4.5252,0.0349,0.45,0.2377,0.4911,3.5664,0.0,0.0195,0.0047,0.0,0.0,0.0,5,1,0,0,0.0,0,0.0,0,0,1,0,0,0,0.041764266135061054,0.010012215155216714,0.036949815664735534,0.029856593917171055,0.0,0.008054522924411401,0.016151202749140895,0.0,0.0,0.0,113.0,2,1,1,0,0,0.0,0,37,44,0.39163624294722865,0.4009190764402601,1.3433871093445564,1.397409514586612,1.615527387958352,0,0,0,1,0,1.0,0,32,39,936,945,0.06773920406435224,93.49525
6.13,4.91,4.5,3.38,284.071,125.212,2.0,169.18245833,0.0,3.0,0,1,51.533333333,10.0,0,20.5281,121.1595,390.74,3.7754,55.9289,9.9104,0.3089,0.1114,0.0257,0.0,0.0,0.0,4,1,0,0,0.0,0,0.0,0,0,1,0,0,0,0.07170361625059817,0.023860052707750063,0.31574879608877043,0.024186986413368444,0.009434653797990288,0.007866676082197585,0.012653865091088136,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,1,639,639,0.4164684741821257,0.30592937911083745,3.045829182139299,3.162162162162162,20.546335341365463,0,0,0,1,0,2.0,1,648,648,939,932,0.1903553299504464,338.36491666
8.91,17.3,7.25,13.0,23.58,25.902,1.0,47.393983333,0.0,3.0,1,0,87.566666667,10.0,1,0.1116,0.0021,0.1,0.0,0.5417,6.1305,0.0002,0.0,0.0296,7.4722,0.0,0.0,5,1,0,0,0.0,0,0.0,0,0,0,0,0,0,0.011374987259198858,0.0,0.14364889949615486,0.026509009301179186,0.0064516129032258064,0.0,0.039946018893387315,6.786739327883742,0.0,0.0,0.0,0,0,0,0,0,1.1317751624711403,0,88,90,0.43584942209595146,0.5234524988379848,1.6669718820342603,2.842575675275295,1.0426042983565107,0,0,1,0,0,3.0,0,102,104,269,273,0.1129092961982954,94.787966666
8.87,9.83,0.88,2.0,24.31900000000001,54.124,2.0,52.851958333,0.0,3.0,1,1,64.8,8.0,0,0.7036,9.0375,37.68,1.4125,0.1641,8.721,0.3005,0.0011,0.0,0.0,0.0,0.0,3,1,0,0,2.0,1,0.0,0,0,0,0,0,0,0.024730237952971777,0.10161139486367889,0.07962154294032023,0.10298650228504622,0.0913096323305986,0.01089108910891089,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.6983325304425186,0,25,28,0.13345072054121682,0.6899699148437101,2.946580396770226,6.5529330093717455,3.474003542958371,0,0,0,1,0,3.0,0,25,27,380,379,0.12158054711246201,105.703916666
3.22,2.96,2.38,3.13,94.676,111.767,1.0,128.64523333,1.0,2.0,1,1,99.3,10.0,1,12.9505,0.2422,1.13,2.7971,34.2091,1.4380000000000002,0.0,0.3603,0.0087,0.1276,0.2012,0.0,4,0,0,1,8.0,1,0.0,0,0,1,0,1,1,0.15076075947893502,0.04248264759040719,2.265353287861731,0.027447462350403698,0.0,0.019904977625545547,0.016698656429942418,0.13141091658084447,0.023177053334869257,0.0,33.0,2,1,0,0,0,0.0,1,639,639,0.4713027114874691,0.5413913700567708,2.1096909885131856,2.2438758845944475,16.268163908589443,0,0,0,0,0,4.0,1,648,648,939,932,0.09970089730807577,385.93569999
2.04,3.61,1.88,4.63,3.315,198.282,2.0,91.683008333,1.0,3.0,1,0,193.36666667,19.0,1,3.0407,8.2469,66.19,0.183,33.5048,2.5795,0.0238,0.0,0.1097,0.0,0.0423,0.0,4,1,0,0,0.0,0,0.0,0,0,0,0,0,0,0.03026144246175894,0.01683377794131175,0.8486309870570656,0.009478890681326273,0.007930689770076643,0.0,0.007235670470285602,0.0,0.02388481084133258,0.0,147.0,2,1,1,0,0,0.0,0,297,298,0.5353178192582847,0.9835514241212711,2.608564855777738,2.073721394563047,15.318920972644378,1,0,0,0,0,4.0,0,293,294,394,388,0.09775338706743691,183.366016666
2.87,3.0,1.5,2.38,0.03,0.018,2.0,27.846325,0.0,3.0,1,0,104.33333333,25.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,8.274469716390476,1,947,958,0.39790790688134553,0.36734693877551017,2.8756600238460233,3.0693120329811903,0.004465116279069767,1,0,0,0,0,2.0,1,957,970,1435,1428,0.23734177215940955,55.69265
1.52,2.0,3.25,1.75,151.78799999999995,204.825,1.0,58.344741667,0.0,3.0,0,1,119.33333333,9.0,1,29.3095,40.1965,166.55,0.5354,9.1991,14.3548,0.1424,0.0,0.1306,0.0,0.0,0.0018,2,1,0,0,0.0,0,0.0,0,1,1,0,1,1,0.14344829948952872,0.011314215675915555,0.23526508273445693,0.021997974104705994,0.01616161616161616,0.0,0.018815732603371268,0.0,0.0,0.029508196721311476,2.0,1,1,0,0,0,0.3460761659848848,1,670,676,0.5867855885459454,0.5743605130477212,4.260437375745528,6.579084183163367,37.459348739495795,0,0,1,0,0,2.0,1,698,702,936,945,0.07479224376938483,116.689483334
3.09,8.87,0.5,1.75,0.001,0.0,2.0,75.523766667,0.0,4.0,1,0,58.766666667,25.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,1,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4.894476288048108,1,670,676,0.15832805573147563,0.0,1.0730708134771343,0.8458462905375389,6.574621959237345e-05,0,0,1,0,0,2.0,1,698,702,936,945,0.4182933630763062,75.523766667
0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.941166667,0.0,4.0,0,0,191.0,25.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,1,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2.490723798373417,1,947,958,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1.0,1,957,970,1435,1428,0.13020833333333334,12.941166667
